s, sparsity, acc
0.000000, 0.000000, 0.916300
0.103448, 0.157056, 0.915300
0.206897, 0.281997, 0.915600
0.310345, 0.385911, 0.912900
0.413793, 0.474141, 0.907100
0.517241, 0.549119, 0.899600
0.620690, 0.613080, 0.868300
0.724138, 0.667490, 0.825600
0.827586, 0.714000, 0.729200
0.931034, 0.753769, 0.563100
1.034483, 0.787866, 0.414300
1.137931, 0.817061, 0.282900
1.241379, 0.842162, 0.164400
1.344828, 0.863779, 0.125400
1.448276, 0.882199, 0.101800
1.551724, 0.897963, 0.100000
1.655172, 0.911391, 0.100000
1.758621, 0.923023, 0.100000
1.862069, 0.933030, 0.100000
1.965517, 0.941501, 0.100000
2.068966, 0.948793, 0.100000
2.172414, 0.955180, 0.100000
2.275862, 0.960685, 0.100000
2.379310, 0.965448, 0.100000
2.482759, 0.969550, 0.100000
2.586207, 0.973094, 0.100000
2.689655, 0.976207, 0.100000
2.793103, 0.978888, 0.100000
2.896552, 0.981265, 0.100000
3.000000, 0.983326, 0.100000
