s, sparsity, acc
0.000000, 0.000004, 0.916300
3.275862, 0.032764, 0.916200
6.551724, 0.065523, 0.915900
9.827586, 0.098282, 0.915800
13.103448, 0.131041, 0.916500
16.379310, 0.163800, 0.915800
19.655172, 0.196557, 0.915700
22.931034, 0.229317, 0.915400
26.206897, 0.262075, 0.915200
29.482759, 0.294834, 0.913700
32.758621, 0.327593, 0.915300
36.034483, 0.360352, 0.913100
39.310345, 0.393109, 0.911500
42.586207, 0.425868, 0.908500
45.862069, 0.458627, 0.905500
49.137931, 0.491386, 0.901400
52.413793, 0.524144, 0.887200
55.689655, 0.556902, 0.869500
58.965517, 0.589662, 0.846000
62.241379, 0.622420, 0.820200
65.517241, 0.655180, 0.738300
68.793103, 0.687938, 0.590600
72.068966, 0.720697, 0.477900
75.344828, 0.753454, 0.365800
78.620690, 0.786212, 0.239700
81.896552, 0.818972, 0.184900
85.172414, 0.851730, 0.128900
88.448276, 0.884490, 0.100000
91.724138, 0.917247, 0.100000
95.000000, 0.950006, 0.100000
